sector,top_tfidf_terms
IT,"company, business, infosys, report, environmental, employees, information, entity, principle, section"
Banking,"bank, sbi, financing, portfolio, green, brsr, emissions, sector, scope, sustainability"
Cement,"cement, opportunity, topics, ghg, 2017, units, training, female, baseline, iso"
Heavy Industry,"steel, tata steel, sebi, tata, 2024, disclosures, words, 15 words, fy23, 15"
Pharma,"sites, 38, target, iso, assessment, 25, 30, vs, high, global"
Auto,"risk, sustainability, india, material, approach, end, supply chain, supply, net, chain"
