topic_id,label,top_keywords
0,Environmental Performance,"disclosure, board, assurance, topic, data, bank, specificity, employee, scope, stakeholder"
1,Governance & Ethics,"disclosure, sustainability, assurance, material, change, billion, million, india, scope, steel"
2,Employee Well-being,"report, green, emission, project, sustainability, bank, sustainability report, sector, financing, initiative"
3,Supply Chain & Circularity,"business, report, employee, company, female, assurance, turnover, risk, opportunity, sustainability"
4,Climate & GHG Targets,"target, global, disclosure, sustainability, stakeholder, policy, report, note, company, transparency"
